Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.8656629996,2.34485000052;"{""type"": ""Point"", ""coordinates"": [2.344850000524048, 48.86566299958704]}";75002.0;64  Rue Montmartre;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G2965;pas de commentaires;-
48.8319033129,2.36573178953;"{""type"": ""Point"", ""coordinates"": [2.365731789525685, 48.83190331291062]}";75013.0;64 - 68 rue jeanne d'arc;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014H2202;-;Programmé
48.8353549996,2.38640999994;"{""type"": ""Point"", ""coordinates"": [2.386409999937626, 48.83535499956073]}";75012.0;Rue de la Nativité;la proposition n'a pas été retenue du fait des protections patrimoniales propres au site proposé limitant les réalisations possibles;Mur végétalisé;Propositions non réalisables techniquement;S2014H3979;Notre Dame de Bercy - immeuble très minéral béton et dégradé. Bailleur social à soutenir;-
48.8682209999,2.35201700066;"{""type"": ""Point"", ""coordinates"": [2.3520170006617622, 48.868220999937456]}";75002.0;16  Rue de Tracy;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I437;"mise en place de bacs à fleurs pour neutraliser l'espace
 libre et éviter qu'il se transforme en urinoir (ce qui est le cas depuis de nombreuses années avec risques sanitaires, odeurs infectes et visions...)";-
48.8709650002,2.35061399974;"{""type"": ""Point"", ""coordinates"": [2.350613999738881, 48.87096500020849]}";75010.0;7  Impasse Bonne Nouvelle;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I4542;Ouvrir Jardin . CQ St Denis Paradis;-
48.8665430004,2.33739699975;"{""type"": ""Point"", ""coordinates"": [2.337396999748367, 48.86654300041284]}";75001.0;56  Rue de Richelieu;la proposition n'a pas été retenue car il existe des vitrines à proximité, pour lesquelles elle aurait constitué une gêne visuelle;Mur végétalisé;Propositions non réalisables techniquement;S2014G4560;Bonjour, j'aimerais planter du lierre ou une vigne vierge en pleine terre pour couvrir la façade, éventuellement côté rue des Petits-Champs ou le trottoir a déjà été élargi. Merci !;-
48.8712979996,2.36174400019;"{""type"": ""Point"", ""coordinates"": [2.361744000189187, 48.871297999616885]}";75010.0;45  Rue de Lancry;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014I1421;Demande de végétalisation sur le mur gauche (immeuble mitoyen) du 45 rue de lancry car mur laid et dépôt sauvage (constant) d'ordures au pied de ce mur.;-
48.8202939999,2.35880800038;"{""type"": ""Point"", ""coordinates"": [2.358808000383048, 48.82029399991148]}";75013.0;180  Avenue d'Italie;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014H2447;Pourquoi une jaridiniere à la place de cet arbre mort il y a deux ans?;-
48.8858769997,2.32128599949;"{""type"": ""Point"", ""coordinates"": [2.321285999485637, 48.88587699966043]}";75017.0;33 Rue Truffaut;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Plantation d?arbre;Propositions non réalisables techniquement;S2014I2003;Emplacement pour 1 arbre;-
48.8262109997,2.3736410004;"{""type"": ""Point"", ""coordinates"": [2.373641000395204, 48.826210999652474]}";75013.0;Rue de Patay;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014G3909;pas de commentaires;-
48.8745509997,2.37350000058;"{""type"": ""Point"", ""coordinates"": [2.373500000582072, 48.874550999739654]}";75010.0;33  Rue de Sambre-Et-Meuse;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014H3967;pas de commentaires;-
48.8528639997,2.38449800044;"{""type"": ""Point"", ""coordinates"": [2.384498000441357, 48.852863999697746]}";75011.0;4b  Rue Jean Macé;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I781;pas de commentaires;-
48.8891779997,2.34006299954;"{""type"": ""Point"", ""coordinates"": [2.340062999544125, 48.889177999693715]}";75018.0;Rue des Saules;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G3595;"Planter des saules au niveau des escaliers rue des saules ! 
Il faudrait aussi obliger la maison située en face du 30 rue des saules à repeindre voir végétaliser leur facade car elle gache tout le charme de la rue..";-
48.8786490001,2.40052100035;"{""type"": ""Point"", ""coordinates"": [2.400521000348571, 48.87864900010935]}";75019.0;49  Rue des Bois;la proposition n'a pas été retenue à cause du manque de luminosité du site proposé, incompatible avec le développement de la végétation;Mur végétalisé;Propositions non réalisables techniquement;S2014I468;pas de commentaires;-
48.8726599999,2.36319599986;"{""type"": ""Point"", ""coordinates"": [2.363195999859239, 48.87265999994804]}";75010.0;15  Rue Jean Poulmarch;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G1931;-;-
