id,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
0,2012-12-12,blond,23.0,9.0,43596.0,M,licence,forage,96.56,oui,1
1,2011-03-16,blond,35.0,13.0,29992.0,M,master,forage,84.68,non,1
2,2014-10-05,chatain,55.0,9.0,33332.0,F,master,detective,60.84,non,1
3,2014-07-23,brun,33.0,10.0,36944.0,M,master,geologie,80.34,oui,1
4,2010-02-17,blond,28.0,13.0,39489.0,M,master,geologie,91.94,oui,1
5,2012-02-03,roux,25.0,11.0,35516.0,M,master,geologie,120.22,oui,1
6,2010-10-31,blond,37.0,13.0,38808.0,F,licence,geologie,81.4,oui,1
7,2010-12-17,chatain,45.0,10.0,27866.0,M,master,geologie,59.92,non,1
8,2010-12-09,blond,22.0,7.0,40269.0,M,licence,detective,93.77,,1
9,2010-07-24,brun,32.0,8.0,38125.0,M,master,geologie,72.99,oui,1
10,2013-12-08,blond,16.0,5.0,25366.0,M,master,geologie,70.99,non,1
11,2010-11-10,chatain,34.0,11.0,33683.0,M,master,geologie,55.78,non,1
12,2010-12-15,brun,29.0,7.0,30689.0,M,master,geologie,75.45,oui,1
13,2013-09-03,chatain,51.0,10.0,32693.0,F,licence,geologie,58.13,non,1
14,2011-04-10,blond,37.0,9.0,41661.0,M,licence,geologie,88.37,oui,1
15,2014-05-08,chatain,42.0,10.0,33139.0,F,master,geologie,48.45,non,1
16,2013-07-16,blond,37.0,13.0,38216.0,F,bac,detective,75.74,non,1
17,2014-10-09,brun,34.0,6.0,35165.0,F,licence,geologie,66.48,non,1
18,2011-10-13,brun,48.0,7.0,35427.0,F,bac,archeologie,73.72,non,1
19,2013-08-16,chatain,27.0,10.0,31588.0,M,doctorat,forage,48.64,non,1
20,2011-05-09,brun,31.0,9.0,30975.0,M,licence,archeologie,72.09,non,1
21,2011-03-14,blond,26.0,13.0,31569.0,F,licence,geologie,85.74,non,1
22,2014-11-30,blond,30.0,7.0,35724.0,M,licence,detective,92.96,oui,1
23,2011-10-25,chatain,35.0,9.0,34453.0,F,master,geologie,46.34,non,1
24,2013-11-20,brun,36.0,12.0,41899.0,M,doctorat,geologie,73.07,oui,1
25,2012-01-25,chatain,44.0,12.0,36517.0,F,master,detective,65.22,non,1
26,2014-11-17,brun,53.0,11.0,39818.0,M,licence,geologie,75.37,oui,1
27,2014-06-04,roux,40.0,8.0,34963.0,M,licence,geologie,96.13,oui,1
28,2014-09-30,roux,41.0,11.0,37795.0,M,licence,geologie,95.0,oui,1
29,2010-01-05,chatain,52.0,10.0,28599.0,F,licence,archeologie,51.55,non,1
30,2010-04-09,blond,29.0,9.0,43463.0,M,licence,geologie,78.97,oui,1
31,2011-09-10,brun,34.0,7.0,37393.0,F,licence,geologie,67.23,non,1
32,2011-12-26,chatain,33.0,12.0,33551.0,M,master,geologie,66.73,non,1
33,2012-12-30,brun,33.0,6.0,33993.0,F,licence,geologie,60.47,non,1
34,2010-10-03,brun,28.0,11.0,37201.0,F,master,geologie,71.98,oui,1
35,2013-02-11,blond,39.0,6.0,29947.0,M,doctorat,geologie,94.85,oui,1
36,2012-09-23,blond,35.0,7.0,35734.0,M,bac,detective,83.03,non,1
37,2011-01-17,blond,29.0,14.0,37509.0,M,licence,forage,80.23,oui,1
38,2014-03-09,blond,30.0,12.0,41356.0,F,licence,forage,85.47,oui,1
39,2013-02-12,chatain,9.0,10.0,33316.0,F,licence,archeologie,62.74,non,1
40,2012-12-10,brun,40.0,11.0,29307.0,M,master,geologie,83.18,non,1
41,2012-09-08,blond,27.0,8.0,41644.0,F,licence,detective,79.19,oui,1
42,2014-04-27,chatain,30.0,10.0,28249.0,F,bac,archeologie,63.01,non,1
43,2012-06-01,roux,40.0,8.0,41012.0,F,bac,geologie,86.1,non,1
44,2012-01-22,blond,20.0,4.0,46248.0,M,licence,forage,84.03,oui,1
45,2012-08-21,chatain,52.0,4.0,31608.0,F,,geologie,52.14,non,1
46,2010-01-06,blond,39.0,4.0,44458.0,M,licence,detective,98.03,oui,1
47,2012-11-19,brun,40.0,11.0,32200.0,M,master,forage,70.07,non,1
48,2011-07-29,chatain,20.0,12.0,40308.0,F,master,detective,96.48,oui,0
49,2011-08-18,chatain,27.0,18.0,38662.0,M,master,geologie,47.56,non,0
50,2010-05-18,brun,42.0,15.0,37224.0,M,master,archeologie,79.05,oui,0
51,2013-03-20,brun,46.0,14.0,40932.0,M,bac,geologie,48.34,non,0
52,2011-06-25,blond,40.0,7.0,33606.0,F,licence,geologie,75.87,non,0
53,2012-12-05,chatain,44.0,7.0,40887.0,M,master,archeologie,58.11,oui,0
54,2012-05-25,blond,30.0,9.0,38755.0,M,bac,archeologie,94.88,non,1
55,2011-08-09,blond,34.0,13.0,36673.0,M,licence,forage,65.8,oui,1
56,2014-10-25,blond,29.0,10.0,30819.0,M,licence,geologie,64.43,non,0
57,2012-03-29,chatain,44.0,6.0,27644.0,F,doctorat,,85.34,oui,0
58,2011-11-30,roux,35.0,9.0,33948.0,M,bac,geologie,46.67,non,0
59,2014-04-19,chatain,20.0,13.0,29629.0,M,master,geologie,60.4,non,0
60,2012-01-28,brun,21.0,6.0,38271.0,M,licence,geologie,67.85,non,0
61,2014-02-28,blond,44.0,13.0,31222.0,M,master,geologie,81.35,oui,0
62,2011-04-11,brun,34.0,14.0,29082.0,F,master,forage,83.61,non,0
63,2013-10-07,blond,35.0,6.0,42881.0,M,bac,detective,60.4,oui,0
64,2013-06-20,chatain,55.0,4.0,36751.0,M,master,forage,74.47,non,0
65,2010-05-20,chatain,36.0,11.0,40299.0,M,master,detective,53.01,oui,0
66,2012-12-07,chatain,47.0,8.0,41995.0,F,master,forage,75.01,oui,0
67,2010-01-23,brun,42.0,9.0,38288.0,M,master,forage,85.74,oui,0
68,2013-06-19,blond,28.0,8.0,40920.0,M,licence,geologie,58.67,oui,0
69,2013-07-20,roux,38.0,15.0,25793.0,F,licence,geologie,100.53,non,0
70,2012-05-11,chatain,40.0,9.0,35057.0,M,master,geologie,75.18,non,0
71,2010-10-03,brun,25.0,5.0,37427.0,M,doctorat,geologie,87.82,oui,0
72,2011-10-01,brun,25.0,12.0,39584.0,M,master,geologie,66.04,oui,0
73,2014-02-05,brun,41.0,6.0,38132.0,F,bac,detective,76.22,non,1
74,2013-06-02,brun,36.0,10.0,26677.0,F,master,forage,113.42,oui,0
75,2013-02-15,chatain,19.0,5.0,27339.0,M,doctorat,forage,117.17,oui,0
76,2011-03-26,chatain,25.0,1.0,28293.0,M,master,geologie,81.07,non,0
77,2014-10-16,brun,33.0,5.0,23468.0,M,doctorat,geologie,98.6,non,0
78,2011-07-24,,36.0,8.0,31073.0,M,licence,geologie,62.64,non,0
79,2012-12-18,chatain,33.0,9.0,40728.0,F,master,forage,80.52,oui,0
