Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25386641416177946
75% Corpus,2,0.01,0.31,0.2558805188284089
75% Corpus,2,0.01,0.61,0.2557404701520428
75% Corpus,2,0.01,0.9099999999999999,0.24354191450754
75% Corpus,2,0.01,symmetric,0.23691986231577877
75% Corpus,2,0.31,0.01,0.26601431784135576
75% Corpus,2,0.31,0.31,0.25026378196393634
75% Corpus,2,0.31,0.61,0.25335539682991587
75% Corpus,2,0.31,0.9099999999999999,0.25690960516856265
75% Corpus,2,0.31,symmetric,0.2458755477644737
75% Corpus,2,0.61,0.01,0.2504259158435232
75% Corpus,2,0.61,0.31,0.2580414645360044
75% Corpus,2,0.61,0.61,0.2703173758430385
75% Corpus,2,0.61,0.9099999999999999,0.25777481241252087
75% Corpus,2,0.61,symmetric,0.26497055813212067
75% Corpus,2,0.9099999999999999,0.01,0.2525259580866124
75% Corpus,2,0.9099999999999999,0.31,0.2616347726866185
75% Corpus,2,0.9099999999999999,0.61,0.28719218840916594
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.28361924378373105
75% Corpus,2,0.9099999999999999,symmetric,0.27368698704616184
75% Corpus,2,symmetric,0.01,0.24880643816354298
75% Corpus,2,symmetric,0.31,0.2481018108966347
75% Corpus,2,symmetric,0.61,0.2375853072232042
75% Corpus,2,symmetric,0.9099999999999999,0.26673684759139427
75% Corpus,2,symmetric,symmetric,0.24134964313372795
75% Corpus,2,asymmetric,0.01,0.27460419901860833
75% Corpus,2,asymmetric,0.31,0.2592683694574397
75% Corpus,2,asymmetric,0.61,0.3504865947327866
75% Corpus,2,asymmetric,0.9099999999999999,0.42380723214058375
75% Corpus,2,asymmetric,symmetric,0.30400358175026815
75% Corpus,3,0.01,0.01,0.3321320183830603
75% Corpus,3,0.01,0.31,0.2814616871675737
75% Corpus,3,0.01,0.61,0.29798534005437677
75% Corpus,3,0.01,0.9099999999999999,0.2806703536167712
75% Corpus,3,0.01,symmetric,0.29933201768839723
75% Corpus,3,0.31,0.01,0.3234529030758526
75% Corpus,3,0.31,0.31,0.25461169552211266
75% Corpus,3,0.31,0.61,0.2859472385150769
75% Corpus,3,0.31,0.9099999999999999,0.2863718855156032
75% Corpus,3,0.31,symmetric,0.26186362110481093
75% Corpus,3,0.61,0.01,0.25869167688398537
75% Corpus,3,0.61,0.31,0.297046768721332
75% Corpus,3,0.61,0.61,0.33369068934936896
75% Corpus,3,0.61,0.9099999999999999,0.3163508817593303
75% Corpus,3,0.61,symmetric,0.3147703915862512
75% Corpus,3,0.9099999999999999,0.01,0.2760482516014316
75% Corpus,3,0.9099999999999999,0.31,0.3055895322257522
75% Corpus,3,0.9099999999999999,0.61,0.3245261641309986
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.34779343594114714
75% Corpus,3,0.9099999999999999,symmetric,0.3032984916903486
75% Corpus,3,symmetric,0.01,0.2647124852606049
75% Corpus,3,symmetric,0.31,0.2580138347261307
75% Corpus,3,symmetric,0.61,0.28471949691287224
75% Corpus,3,symmetric,0.9099999999999999,0.2947123906727723
75% Corpus,3,symmetric,symmetric,0.26331416216606923
75% Corpus,3,asymmetric,0.01,0.33942665716400305
75% Corpus,3,asymmetric,0.31,0.3230874898760354
75% Corpus,3,asymmetric,0.61,0.4177739212693598
75% Corpus,3,asymmetric,0.9099999999999999,0.4637937816177214
75% Corpus,3,asymmetric,symmetric,0.28844107480516284
75% Corpus,4,0.01,0.01,0.31727308078441346
75% Corpus,4,0.01,0.31,0.3284402659901389
75% Corpus,4,0.01,0.61,0.31482666827299743
75% Corpus,4,0.01,0.9099999999999999,0.3314803580157315
75% Corpus,4,0.01,symmetric,0.3044579350441732
75% Corpus,4,0.31,0.01,0.331542983755551
75% Corpus,4,0.31,0.31,0.31589706818134206
75% Corpus,4,0.31,0.61,0.30787964563667763
75% Corpus,4,0.31,0.9099999999999999,0.34754877981783844
75% Corpus,4,0.31,symmetric,0.3102970661696225
75% Corpus,4,0.61,0.01,0.29603088702880576
75% Corpus,4,0.61,0.31,0.2949636321888729
75% Corpus,4,0.61,0.61,0.3248198487592263
75% Corpus,4,0.61,0.9099999999999999,0.36911585618859233
75% Corpus,4,0.61,symmetric,0.2907219831319809
75% Corpus,4,0.9099999999999999,0.01,0.315637546390234
75% Corpus,4,0.9099999999999999,0.31,0.30444998027808506
75% Corpus,4,0.9099999999999999,0.61,0.32293747834943476
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3315441886262145
75% Corpus,4,0.9099999999999999,symmetric,0.29889782648834673
75% Corpus,4,symmetric,0.01,0.3311743210620431
75% Corpus,4,symmetric,0.31,0.3117676295660122
75% Corpus,4,symmetric,0.61,0.341504700225381
75% Corpus,4,symmetric,0.9099999999999999,0.3150759722701596
75% Corpus,4,symmetric,symmetric,0.2979977651059982
75% Corpus,4,asymmetric,0.01,0.3187333873313704
75% Corpus,4,asymmetric,0.31,0.359725395717592
75% Corpus,4,asymmetric,0.61,0.3852802093565679
75% Corpus,4,asymmetric,0.9099999999999999,0.4189936858321007
75% Corpus,4,asymmetric,symmetric,0.3064335146393129
75% Corpus,5,0.01,0.01,0.2910606992952741
75% Corpus,5,0.01,0.31,0.29565310424748786
75% Corpus,5,0.01,0.61,0.3665676335004781
75% Corpus,5,0.01,0.9099999999999999,0.3220489704117574
75% Corpus,5,0.01,symmetric,0.30517592338299765
75% Corpus,5,0.31,0.01,0.3032953360985845
75% Corpus,5,0.31,0.31,0.3168120321735617
75% Corpus,5,0.31,0.61,0.32878631557524274
75% Corpus,5,0.31,0.9099999999999999,0.3564432742661115
75% Corpus,5,0.31,symmetric,0.3088549619066445
75% Corpus,5,0.61,0.01,0.3502164882956761
75% Corpus,5,0.61,0.31,0.32535926049412495
75% Corpus,5,0.61,0.61,0.3398109297365668
75% Corpus,5,0.61,0.9099999999999999,0.3566036355944936
75% Corpus,5,0.61,symmetric,0.3337143781616529
75% Corpus,5,0.9099999999999999,0.01,0.34491523741658126
75% Corpus,5,0.9099999999999999,0.31,0.31023118626989565
75% Corpus,5,0.9099999999999999,0.61,0.3260222084608323
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3428536082850119
75% Corpus,5,0.9099999999999999,symmetric,0.2938586129588262
75% Corpus,5,symmetric,0.01,0.3010498764858177
75% Corpus,5,symmetric,0.31,0.31961324391469903
75% Corpus,5,symmetric,0.61,0.32460299703833195
75% Corpus,5,symmetric,0.9099999999999999,0.3576202898175199
75% Corpus,5,symmetric,symmetric,0.31976628450936023
75% Corpus,5,asymmetric,0.01,0.34437795101160845
75% Corpus,5,asymmetric,0.31,0.340376106245979
75% Corpus,5,asymmetric,0.61,0.38894941638250136
75% Corpus,5,asymmetric,0.9099999999999999,0.4160013803699255
75% Corpus,5,asymmetric,symmetric,0.3473411023436399
75% Corpus,6,0.01,0.01,0.2733370973626399
75% Corpus,6,0.01,0.31,0.3280102776556962
75% Corpus,6,0.01,0.61,0.35474600142616614
75% Corpus,6,0.01,0.9099999999999999,0.365032540675365
75% Corpus,6,0.01,symmetric,0.30018055501692037
75% Corpus,6,0.31,0.01,0.31496605061109734
75% Corpus,6,0.31,0.31,0.37852873168986045
75% Corpus,6,0.31,0.61,0.41211641512992464
75% Corpus,6,0.31,0.9099999999999999,0.45391507588620456
75% Corpus,6,0.31,symmetric,0.3378369911145656
75% Corpus,6,0.61,0.01,0.3236469465737036
75% Corpus,6,0.61,0.31,0.35230165632267024
75% Corpus,6,0.61,0.61,0.39431665261206833
75% Corpus,6,0.61,0.9099999999999999,0.4106853649711159
75% Corpus,6,0.61,symmetric,0.32181087906737704
75% Corpus,6,0.9099999999999999,0.01,0.3288217491056447
75% Corpus,6,0.9099999999999999,0.31,0.31641041320900887
75% Corpus,6,0.9099999999999999,0.61,0.34561977662647503
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.35629202521385345
75% Corpus,6,0.9099999999999999,symmetric,0.31014266297282506
75% Corpus,6,symmetric,0.01,0.30613347307204225
75% Corpus,6,symmetric,0.31,0.38191995853281374
